,Name,Followers,Page_Likes,Views,Video_Likes
140,,,,560400,10000
141,,,,598000,13000
142,,,,659500,12000
143,,,,3600000,71000
144,,,,672700,13000
145,,,,648900,11000
146,,,,562300,11000
147,,,,599400,11000
148,,,,469000,10000
149,,,,856000,16000
150,,,,5300000,86000
151,,,,706100,13000
152,,,,699000,13000
153,,,,826600,14000
154,,,,918100,15000
155,,,,1000000,16000
156,,,,998000,17000
157,,,,14400000,134000
158,,,,724900,15000
159,,,,4300000,34000
160,,,,326000,72000
161,,,,965200,20000
162,,,,586600,13000
163,,,,697700,17000
164,,,,718500,16000
165,,,,686900,13000
166,,,,701300,16000
167,,,,684600,14000
168,,,,653900,15000
169,,,,476300,98000
170,,,,752500,15000
171,,,,799900,13000
172,,,,1100000,19000
173,,,,640000,12000
174,,,,590700,91000
175,,,,600100,99000
176,,,,664900,10000
177,,,,801600,12000
178,,,,1100000,17000
179,,,,3100000,36000
180,,,,835600,14000
181,,,,1000000,17000
182,,,,746600,12000
183,,,,1100000,19000
184,,,,466600,88000
185,,,,826500,16000
186,,,,1100000,13000
187,,,,743000,15000
188,,,,499700,11000
189,,,,781900,14000
190,,,,1000000,17000
191,,,,963000,16000
192,,,,967800,17000
193,,,,1700000,24000
194,,,,829100,16000
195,,,,618700,14000
196,,,,637700,15000
197,,,,695600,14000
198,,,,865900,15000
199,,,,2100000,40000
200,,,,722600,15000
201,,,,1200000,18000
202,,,,879800,15000
203,,,,1000000,17000
204,,,,906200,16000
205,,,,1000000,19000
206,,,,2800000,54000
207,,,,981600,18000
208,,,,317900,61000
209,,,,722600,13000
210,,,,474300,10000
211,,,,686300,15000
212,,,,1400000,23000
213,,,,799500,15000
214,,,,688000,15000
215,,,,520300,12000
216,,,,536700,10000
217,,,,1700000,34000
218,,,,514000,11000
219,,,,563800,12000
220,,,,3500000,59000
221,,,,590600,11000
222,,,,1600000,23000
223,,,,544300,11000
224,,,,600900,12000
225,,,,636800,14000
226,,,,359200,65000
227,,,,824900,17000
228,,,,625000,11000
229,,,,6700000,84000
230,,,,575000,12000
231,,,,461200,89000
232,,,,401800,87000
233,,,,495400,10000
234,,,,467200,9000
235,,,,264300,51000
236,,,,2200000,29000
237,,,,429300,98000
238,,,,460800,11000
239,,,,520100,11000
240,,,,509000,10000
241,,,,505500,93000
242,,,,628800,11000
243,,,,2500000,25000
244,,,,481800,10000
245,,,,443100,10000
246,,,,495400,11000
247,,,,733300,14000
248,,,,555200,10000
249,,,,540400,86000
250,,,,2200000,27000
251,,,,500900,10000
252,,,,395600,76000
253,,,,546400,11000
254,,,,529500,10000
255,,,,505800,11000
256,,,,868200,12000
257,,,,4400000,44000
258,,,,711000,13000
259,,,,529000,98000
260,,,,663100,99000
261,,,,422900,65000
262,,,,370600,54000
263,,,,353100,62000
264,,,,2700000,24000
265,,,,335700,75000
266,,,,233900,48000
267,,,,545200,87000
268,,,,336700,82000
269,,,,410200,89000
270,,,,528300,10000
271,,,,253900,76000
272,,,,520600,98000
273,,,,495200,11000
274,,,,628500,12000
275,,,,539000,10000
276,,,,533200,95000
277,,,,15700000,178000
278,,,,704800,14000
279,,,,517000,11000
280,,,,413000,24000
281,,,,578500,12000
282,,,,551700,10000
283,,,,440800,10000
284,,,,628400,12000
285,,,,8200000,54000
286,,,,12300,11000
287,,,,839400,18000
288,,,,710000,16000
289,,,,756100,17000
290,,,,426000,8000
291,,,,485300,93000
292,,,,350300,76000
293,,,,325800,7000
294,,,,438800,10000
295,,,,187800,13000
296,,,,410800,72000
297,,,,517700,86000
298,,,,443200,98000
299,,,,525900,97000
300,,,,588800,12000
301,,,,466100,10000
302,,,,493600,12000
303,,,,570000,13000
304,,,,446500,92000
305,,,,445300,87000
306,,,,425700,84000
307,,,,341200,72000
308,,,,524100,94000
309,,,,439900,79000
310,,,,364200,84000
311,,,,358500,72000
312,,,,426300,86000
313,,,,398000,61000
314,,,,236900,54000
315,,,,365900,67000
316,,,,415800,87000
317,,,,383100,78000
318,,,,335600,71000
319,,,,368400,84000
320,,,,397700,82000
321,,,,309200,51000
322,,,,312200,65000
323,,,,432700,91000
324,,,,506200,10000
325,,,,370300,76000
326,,,,152500,35000
327,,,,286500,49000
328,,,,281300,52000
329,,,,218200,53000
330,,,,385100,73000
331,,,,444000,73000
332,,,,278500,49000
333,,,,472600,78000
334,,,,227900,49000
335,,,,345400,57000
336,,,,339900,57000
337,,,,389400,6000
338,,,,90900,3000
339,,,,332200,46000
340,,,,138500,33000
341,,,,149000,33000
342,,,,862100,13000
343,,,,300700,44000
344,,,,75400,31000
345,,,,150800,33000
346,,,,75600,3000
347,,,,282300,54000
348,,,,207200,42000
349,,,,106900,28000
350,,,,83800,29000
351,,,,185100,38000
352,,,,434100,69000
353,,,,58600,26000
354,,,,156200,32000
355,,,,286200,42000
356,,,,306800,47000
357,,,,78800,3000
358,,,,321000,46000
359,,,,71300,29000
360,,,,351000,48000
361,,,,139600,29000
362,,,,156100,3000
363,,,,73700,23000
364,,,,260100,39000
365,,,,199500,35000
366,,,,91100,32000
367,,,,233500,39000
368,,,,170400,29000
369,,,,192300,34000
370,,,,219900,37000
371,,,,76300,24000
372,,,,648600,81000
373,,,,77500,23000
374,,,,219600,33000
375,,,,286200,44000
376,,,,79900,25000
377,,,,332900,49000
378,,,,87200,31000
379,,,,242400,44000
380,,,,152000,36000
381,,,,295100,38000
382,,,,82900,23000
383,,,,238300,32000
384,,,,67400,13000
385,,,,185700,35000
386,,,,405800,53000
387,,,,49700,18000
388,,,,330900,49000
389,,,,122400,29000
390,,,,417600,49000
391,,,,94000,12000
392,,,,86000,26000
393,,,,279800,36000
394,,,,1700000,16000
395,,,,146600,26000
396,,,,42700,884
397,,,,123100,29000
398,,,,297200,4000
399,,,,323000,51000
400,,,,102000,3000
401,,,,227900,49000
402,,,,449300,65000
403,,,,267800,31000
